Manufacturer,Model,Efficiency Rating,Noise Rating,Total Score,Relative Performance,Average Efficiency [%],Average Efficiency (20-80W) [%],Efficiency 2% [%],Avg Noise Output [dB(A)],Report Date,Report_links,Report
Cooler Master,MWE Bronze 750,SILVER,Standard,69.6824,73.42,85.672,76.998,72.857,42.09,2019-05-17,['https://www.cybenetics.com/evaluations/psus/724/'],
Cooler Master,MWE Gold 1050 V2 (ATX v3.0),PLATINUM,Standard+,86.9341,91.59,89.022,79.453,68.800,38.46,2023-03-07,['https://www.cybenetics.com/evaluations/psus/2148/'],
Cooler Master,MWE Gold 1050 V2 ATX 2.52,PLATINUM,Standard+,85.4367,90.02,89.133,78.696,71.309,37.49,2021-06-17,['https://www.cybenetics.com/evaluations/psus/1858/'],
Cooler Master,MWE Gold 1050 V2 ATX v3.1 (GX Gold 1050),PLATINUM,A,88.1740,92.90,89.244,80.582,70.445,24.89,2024-06-13,['https://www.cybenetics.com/evaluations/psus/2476/'],
Cooler Master,MWE Gold 1250 V2,GOLD,A+,87.2806,91.96,88.843,79.906,73.482,17.83,2024-09-18,['https://www.cybenetics.com/evaluations/psus/2572/'],
Cooler Master,MWE Gold 1250 V2 (GX Gold 1250),PLATINUM,Standard+,87.1120,91.78,89.076,78.472,70.986,36.19,2021-06-04,['https://www.cybenetics.com/evaluations/psus/1854/'],
Cooler Master,MWE Gold 550,GOLD,Standard++,69.1598,72.87,88.547,80.656,57.769,31.96,2019-10-15,['https://www.cybenetics.com/evaluations/psus/876/'],
Cooler Master,MWE Gold 550 V2,GOLD,A-,79.2453,83.49,88.215,79.836,55.818,29.75,2020-12-23,['https://www.cybenetics.com/evaluations/psus/1771/'],
Cooler Master,MWE Gold 550 V2 (Fixed),GOLD,A,75.2640,79.30,87.928,78.583,54.848,24.95,2021-05-27,['https://www.cybenetics.com/evaluations/psus/1851/'],
Cooler Master,MWE Gold 650,GOLD,Standard+,72.6963,76.59,88.138,79.387,61.102,35.29,2019-10-10,['https://www.cybenetics.com/evaluations/psus/875/'],
Cooler Master,MWE Gold 650 V2 (Fixed),GOLD,Standard++,76.8065,80.92,88.134,78.158,57.843,31.52,2021-05-28,['https://www.cybenetics.com/evaluations/psus/1850/'],
Cooler Master,MWE Gold 750,GOLD,Standard++,72.4193,76.30,88.592,78.863,62.188,32.29,2019-09-10,['https://www.cybenetics.com/evaluations/psus/874/'],
Cooler Master,MWE Gold 750 V2 (Fixed),GOLD,A-,76.8963,81.02,88.615,78.335,61.110,26.60,2021-05-24,['https://www.cybenetics.com/evaluations/psus/1848/'],
Cooler Master,MWE Gold 750 V2 (GX Gold 750),GOLD,Standard++,80.4800,84.79,88.405,78.951,62.473,30.19,2020-12-23,['https://www.cybenetics.com/evaluations/psus/1770/'],
Cooler Master,MWE Gold 750 V2 (GX Gold 750) (#2),GOLD,A-,80.2597,84.56,88.411,79.339,63.621,28.31,2023-10-13,['https://www.cybenetics.com/evaluations/psus/2260/'],
Cooler Master,MWE Gold 850 V2 (Fixed),GOLD,Standard+,78.4731,82.68,88.544,77.681,62.127,35.11,2021-05-24,['https://www.cybenetics.com/evaluations/psus/1847/'],
Cooler Master,MWE Gold 850 V2 (GX Gold 750) (#2),GOLD,Standard++,82.3339,86.75,88.338,78.060,64.654,31.66,2023-10-12,['https://www.cybenetics.com/evaluations/psus/2259/'],
Cooler Master,MWE Gold 850 V2 (GX Gold 850),GOLD,Standard+,78.6436,82.86,88.571,78.323,63.292,35.18,2020-12-17,['https://www.cybenetics.com/evaluations/psus/1769/'],
Cooler Master,V SFX GOLD 750 (ATX v3.1),GOLD,A,77.9052,82.08,88.587,77.936,66.780,22.80,2024-11-21,['https://www.cybenetics.com/evaluations/psus/2656/'],
Cooler Master,V SFX Gold 850 (ATX v3.1),GOLD,A-,78.1021,82.29,87.894,77.329,67.765,29.21,2024-10-08,['https://www.cybenetics.com/evaluations/psus/2598/'],
Cooler Master,V1000 Platinum,PLATINUM,A-,80.6478,84.97,89.673,74.068,61.463,26.83,2019-11-04,['https://www.cybenetics.com/evaluations/psus/673/'],
Cooler Master,V1100 Platinum V2,PLATINUM,A-,85.9254,90.53,89.993,74.461,-,25.76,2025-02-06,['https://www.cybenetics.com/evaluations/psus/2735/'],
Cooler Master,V1100 SFX Platinum,PLATINUM,A-,75.5739,79.63,89.337,73.531,61.846,29.03,2023-01-10,['https://www.cybenetics.com/evaluations/psus/2109/'],
Cooler Master,V1300 Platinum,PLATINUM,A-,81.4384,85.80,89.294,74.753,67.220,29.70,2019-04-18,['https://www.cybenetics.com/evaluations/psus/688/'],
Cooler Master,V1300 Platinum V2,PLATINUM,A,84.1458,88.66,90.089,73.742,66.693,20.10,2024-11-14,['https://www.cybenetics.com/evaluations/psus/2649/'],
Cooler Master,V1600 Platinum V2,PLATINUM,Standard++,87.4627,92.15,90.137,73.299,-,33.72,2025-04-02,['https://www.cybenetics.com/evaluations/psus/2776/'],
Cooler Master,V550 Gold,GOLD,A,79.6439,83.91,88.676,80.171,62.173,22.23,2018-12-25,['https://www.cybenetics.com/evaluations/psus/581/'],
Cooler Master,V550 Gold SFX (2021),PLATINUM,Standard++,82.5793,87.01,89.599,76.327,47.449,30.50,2021-04-16,['https://www.cybenetics.com/evaluations/psus/1834/'],
Cooler Master,V550 Gold V2 (2021),PLATINUM,A-,82.6893,87.12,89.165,85.133,73.616,28.12,2021-06-02,['https://www.cybenetics.com/evaluations/psus/1853/'],
Cooler Master,V650 Gold,GOLD,A-,77.3305,81.48,89.069,82.018,67.603,26.20,2019-02-03,['https://www.cybenetics.com/evaluations/psus/645/'],
Cooler Master,V650 Gold SFX (2021),GOLD,Standard++,80.4206,84.73,88.712,73.848,48.150,33.08,2021-04-16,['https://www.cybenetics.com/evaluations/psus/1832/'],
Cooler Master,V750 Gold,GOLD,Standard++,80.9910,85.33,88.825,78.933,63.266,34.02,2018-12-20,['https://www.cybenetics.com/evaluations/psus/572/'],
Cooler Master,V750 Gold (#2),GOLD,Standard+,78.6143,82.83,88.937,79.142,63.901,36.51,2019-07-30,['https://www.cybenetics.com/evaluations/psus/623/'],
Cooler Master,V750 Gold V2,PLATINUM,A-,86.6558,91.30,90.093,82.400,73.627,25.23,2021-01-26,['https://www.cybenetics.com/evaluations/psus/1782/'],
Cooler Master,V750 SFX Gold (2021),GOLD,Standard+,79.0799,83.32,88.850,76.518,63.242,37.51,2021-09-13,['https://www.cybenetics.com/evaluations/psus/1904/'],
Cooler Master,V750i Gold,PLATINUM,A,88.3865,93.12,89.578,84.110,72.803,22.80,2023-04-05,['https://www.cybenetics.com/evaluations/psus/2167/'],
Cooler Master,V850 Gold,PLATINUM,Standard++,79.8228,84.10,89.194,79.261,66.645,32.10,2018-12-18,['https://www.cybenetics.com/evaluations/psus/570/'],
Cooler Master,V850 Gold (#2),PLATINUM,Standard++,81.3734,85.74,89.082,73.490,62.967,31.64,2019-07-30,['https://www.cybenetics.com/evaluations/psus/622/'],
Cooler Master,V850 Gold V2,PLATINUM,A-,84.2965,88.82,89.425,81.246,73.345,27.07,2020-12-11,['https://www.cybenetics.com/evaluations/psus/1766/'],
Cooler Master,V850 Platinum,PLATINUM,A-,81.0249,85.37,89.734,77.299,62.561,25.54,2019-04-19,['https://www.cybenetics.com/evaluations/psus/690/'],
Cooler Master,V850 SFX Gold (2021),GOLD,Standard+,71.2491,75.07,88.519,74.705,51.215,37.32,2021-09-10,['https://www.cybenetics.com/evaluations/psus/1903/'],
Cooler Master,V850i Gold,PLATINUM,A-,87.9078,92.62,89.467,84.082,72.513,26.46,2023-03-31,['https://www.cybenetics.com/evaluations/psus/2163/'],
Cooler Master,X Silent Edge Platinum 850,PLATINUM,A++,89.7835,94.60,90.900,76.708,61.124,6.00,2024-10-10,['https://www.cybenetics.com/evaluations/psus/2603/'],
Cooler Master,X Silent Max Platinum 1300,PLATINUM,A++,88.1749,92.90,89.822,70.670,60.191,6.00,2024-06-27,['https://www.cybenetics.com/evaluations/psus/2493/'],
Cooler Master,XG 650,PLATINUM,A+,84.7727,89.32,89.745,82.749,64.732,17.49,2021-08-30,['https://www.cybenetics.com/evaluations/psus/1890/'],
Cooler Master,XG 750,PLATINUM,A,85.9290,90.54,90.025,82.432,67.637,20.31,2021-08-27,['https://www.cybenetics.com/evaluations/psus/1889/'],
Cooler Master,XG 750 (#2),PLATINUM,A++,84.3771,88.90,89.964,80.530,64.314,11.35,2023-12-13,['https://www.cybenetics.com/evaluations/psus/2305/'],
Cooler Master,XG 850,PLATINUM,A-,86.3083,90.94,90.187,82.301,69.752,26.43,2021-08-30,['https://www.cybenetics.com/evaluations/psus/1888/'],
Cooler Master,XG 850 (#2),PLATINUM,A++,84.4723,89.00,89.715,79.140,63.547,14.74,2023-12-18,['https://www.cybenetics.com/evaluations/psus/2310/'],
Cooler Master,XG Plus 850 Platinum,PLATINUM,A-,84.6137,89.15,89.655,77.245,60.673,27.05,2022-09-05,['https://www.cybenetics.com/evaluations/psus/2057/'],
Corsair,AX1000,TITANIUM,A,90.4716,95.32,92.107,85.721,77.269,22.85,2018-11-20,['https://www.cybenetics.com/evaluations/psus/546/'],
Corsair,AX1200i,PLATINUM,A,86.0645,90.68,89.489,73.430,-,22.64,2018-03-01,['https://www.cybenetics.com/evaluations/psus/103/'],
Corsair,AX1500i,TITANIUM,A-,91.5989,96.51,91.264,75.362,65.602,27.55,2018-02-03,['https://www.cybenetics.com/evaluations/psus/102/'],
Corsair,AX1600i,TITANIUM,A-,94.9117,100.00,92.221,81.023,78.233,25.60,2020-04-01,['https://www.cybenetics.com/evaluations/psus/1631/'],
Corsair,AX850,TITANIUM,A+,90.9672,95.84,92.543,86.481,75.879,15.37,2018-11-24,['https://www.cybenetics.com/evaluations/psus/552/'],
Corsair,AX860i,PLATINUM,A,84.6112,89.15,90.052,77.170,-,22.54,2018-05-02,['https://www.cybenetics.com/evaluations/psus/104/'],
Corsair,CV650,BRONZE,Standard++,64.8735,68.35,83.932,73.396,55.120,31.67,2019-11-01,['https://www.cybenetics.com/evaluations/psus/886/'],
Corsair,CX450 (CWT),BRONZE,A-,73.9120,77.87,84.935,76.351,-,27.37,2018-05-08,['https://www.cybenetics.com/evaluations/psus/189/'],
Corsair,CX450 (Great Wall),SILVER,Standard+,77.5099,81.67,85.253,-,-,36.08,2018-11-04,['https://www.cybenetics.com/evaluations/psus/404/'],
Corsair,CX450M,BRONZE,A-,74.1819,78.16,84.637,80.289,62.374,26.59,2021-03-18,['https://www.cybenetics.com/evaluations/psus/1813/'],
Corsair,CX550,SILVER,A,75.4035,79.45,85.720,75.989,-,23.69,2018-09-27,['https://www.cybenetics.com/evaluations/psus/184/'],
Corsair,CX550F RGB,GOLD,Standard++,72.0346,75.90,87.144,81.585,61.692,30.73,2020-07-07,['https://www.cybenetics.com/evaluations/psus/1674/'],
Corsair,CX550M,SILVER,A,75.0388,79.06,85.905,81.139,63.562,20.20,2021-03-18,['https://www.cybenetics.com/evaluations/psus/1811/'],
Corsair,CX650,SILVER,Standard++,72.6389,76.53,86.880,80.413,63.102,32.84,2020-07-14,['https://www.cybenetics.com/evaluations/psus/1684/'],
Corsair,CX650F RGB,GOLD,Standard++,73.5679,77.51,86.970,79.016,61.250,31.15,2020-07-06,['https://www.cybenetics.com/evaluations/psus/1675/'],
Corsair,CX650M,SILVER,Standard++,73.3602,77.29,85.651,80.529,65.497,33.39,2021-03-11,['https://www.cybenetics.com/evaluations/psus/1808/'],
Corsair,CX750F RGB,GOLD,Standard++,70.7432,74.54,86.997,79.007,63.631,34.58,2020-07-06,['https://www.cybenetics.com/evaluations/psus/1676/'],
Corsair,CX750M,SILVER,A-,74.3038,78.29,86.065,80.020,66.630,26.90,2021-03-10,['https://www.cybenetics.com/evaluations/psus/1806/'],
Corsair,CX850M,SILVER,Standard+,69.9793,73.73,85.710,74.769,-,39.16,2018-01-06,['https://www.cybenetics.com/evaluations/psus/170/'],
Corsair,HX1000,PLATINUM,A,86.0251,90.64,89.285,79.516,-,23.61,2018-06-11,['https://www.cybenetics.com/evaluations/psus/125/'],
Corsair,HX1000i,PLATINUM,A,79.7829,84.06,89.602,78.819,-,20.05,2018-04-23,['https://www.cybenetics.com/evaluations/psus/99/'],
Corsair,HX1000i (2022),PLATINUM,A,85.9662,90.57,89.901,81.298,73.772,24.64,2021-09-24,['https://www.cybenetics.com/evaluations/psus/1911/'],
Corsair,HX1000i (ATX v3.1),PLATINUM,A,88.9345,93.70,90.022,79.286,72.412,21.85,2024-07-22,['https://www.cybenetics.com/evaluations/psus/2513/'],
Corsair,HX1200,PLATINUM,A,87.3090,91.99,89.840,76.428,-,22.63,2018-05-24,['https://www.cybenetics.com/evaluations/psus/116/'],
Corsair,HX1200i,PLATINUM,A,84.7881,89.33,90.025,78.208,-,20.49,2018-04-22,['https://www.cybenetics.com/evaluations/psus/98/'],
Corsair,HX1200i  (ATX v3.1),PLATINUM,A+,89.0553,93.83,89.650,79.702,74.075,18.31,2024-07-17,['https://www.cybenetics.com/evaluations/psus/2510/'],
Corsair,HX1200i (ATX v3.1) (#2),PLATINUM,A+,89.9978,94.82,89.959,77.203,-,19.80,2025-02-05,['https://www.cybenetics.com/evaluations/psus/2733/'],
Corsair,HX1500i (2022),PLATINUM,A-,87.7798,92.49,89.515,76.211,73.642,28.82,2021-09-30,['https://www.cybenetics.com/evaluations/psus/1913/'],
Corsair,HX1500i (ATX v3.1),PLATINUM,A-,91.2475,96.14,89.693,78.706,76.053,27.55,2022-12-07,['https://www.cybenetics.com/evaluations/psus/2099/'],
Corsair,HX750,PLATINUM,A,83.8834,88.38,89.512,83.150,72.354,21.35,2021-09-06,['https://www.cybenetics.com/evaluations/psus/1893/'],
Corsair,HX750i,PLATINUM,A+,81.4973,85.87,89.819,79.826,-,19.10,2018-04-24,['https://www.cybenetics.com/evaluations/psus/101/'],
Corsair,HX850,PLATINUM,A,84.9521,89.51,89.543,82.042,72.614,21.48,2021-09-06,['https://www.cybenetics.com/evaluations/psus/1892/'],
Corsair,HX850i,PLATINUM,A+,80.3904,84.70,89.830,79.923,-,19.22,2018-04-24,['https://www.cybenetics.com/evaluations/psus/100/'],
Corsair,RM1000e,PLATINUM,A-,82.3404,86.75,89.674,83.270,77.686,25.89,2021-11-04,['https://www.cybenetics.com/evaluations/psus/1931/'],
Corsair,RM1000e (ATX v3.0),PLATINUM,A-,83.4470,87.92,89.389,80.876,76.118,26.80,2022-11-04,['https://www.cybenetics.com/evaluations/psus/2087/'],
Corsair,RM1000e (ATX v3.1),PLATINUM,A-,83.1891,87.65,89.483,81.661,70.962,25.54,2024-10-31,['https://www.cybenetics.com/evaluations/psus/2624/'],
Corsair,RM1000i,GOLD,A+,84.9561,89.51,88.632,77.844,-,19.58,2018-12-02,['https://www.cybenetics.com/evaluations/psus/89/'],
Corsair,RM1000x,GOLD,A-,87.6197,92.32,88.456,81.987,76.957,28.72,2021-02-26,['https://www.cybenetics.com/evaluations/psus/1798/'],
Corsair,RM1000x (ATX v3.1),PLATINUM,A,87.0560,91.72,89.047,79.918,73.730,24.78,2024-03-22,['https://www.cybenetics.com/evaluations/psus/2396/'],
Corsair,RM1000x (Shift),GOLD,A,86.2876,90.91,88.494,81.372,76.523,23.62,2022-06-22,['https://www.cybenetics.com/evaluations/psus/2031/'],
Corsair,RM1200e,PLATINUM,A,82.8487,87.29,89.438,80.005,75.130,24.57,2023-03-10,['https://www.cybenetics.com/evaluations/psus/2151/'],
Corsair,RM1200x (Shift),GOLD,A-,85.2268,89.80,88.139,80.653,76.635,29.40,2022-06-20,['https://www.cybenetics.com/evaluations/psus/2030/'],
Corsair,RM550x,GOLD,A+,83.0728,87.53,88.356,85.538,74.197,15.73,2020-10-09,['https://www.cybenetics.com/evaluations/psus/1733/'],
Corsair,RM650,PLATINUM,A+,83.6186,88.10,89.039,84.431,74.731,19.29,2020-10-30,['https://www.cybenetics.com/evaluations/psus/1746/'],
Corsair,RM650e (ATX v3.1),PLATINUM,A++,82.1464,86.55,89.070,80.794,62.614,12.58,2024-11-02,['https://www.cybenetics.com/evaluations/psus/2628/'],
Corsair,RM650i,GOLD,A+,81.3180,85.68,88.212,78.812,-,18.19,2018-04-16,['https://www.cybenetics.com/evaluations/psus/92/'],
Corsair,RM650x,GOLD,A,85.5499,90.14,88.530,84.782,74.498,20.01,2020-10-15,['https://www.cybenetics.com/evaluations/psus/1734/'],
Corsair,RM750,GOLD,A,81.2161,85.57,88.311,84.678,77.383,21.44,2019-04-04,['https://www.cybenetics.com/evaluations/psus/664/'],
Corsair,RM750e,PLATINUM,Standard+,80.3177,84.62,89.352,82.542,74.071,35.12,2022-05-11,['https://www.cybenetics.com/evaluations/psus/2015/'],
Corsair,RM750e (ATX v3.0),PLATINUM,A-,81.5882,85.96,89.023,80.057,72.881,28.17,2022-11-14,['https://www.cybenetics.com/evaluations/psus/2089/'],
Corsair,RM750e (ATX v3.1),PLATINUM,A+,78.4770,82.68,88.978,79.589,64.128,19.34,2024-10-31,['https://www.cybenetics.com/evaluations/psus/2625/'],
Corsair,RM750i,GOLD,A+,81.6446,86.02,87.841,78.812,-,19.11,2018-04-16,['https://www.cybenetics.com/evaluations/psus/91/'],
Corsair,RM750x,GOLD,A-,86.5945,91.24,87.980,84.829,77.021,27.98,2021-03-02,['https://www.cybenetics.com/evaluations/psus/1801/'],
Corsair,RM750x (Shift),GOLD,A+,83.9568,88.46,88.397,84.935,76.857,18.75,2022-05-30,['https://www.cybenetics.com/evaluations/psus/2024/'],
Corsair,RM750x (ΑΤΧ v3.1),GOLD,A+,86.3795,91.01,88.701,82.984,73.996,19.33,2024-04-04,['https://www.cybenetics.com/evaluations/psus/2406/'],
Corsair,RM850,GOLD,A-,83.4743,87.95,88.540,84.511,78.436,25.66,2019-03-04,['https://www.cybenetics.com/evaluations/psus/662/'],
Corsair,RM850e,GOLD,A-,78.6699,82.89,88.207,82.679,75.230,26.62,2022-03-30,['https://www.cybenetics.com/evaluations/psus/1995/'],
Corsair,RM850e (ATX v3.0),GOLD,A-,77.9286,82.11,88.277,78.063,72.219,26.34,2022-11-11,['https://www.cybenetics.com/evaluations/psus/2088/'],
Corsair,RM850e (ATX v3.1),GOLD,A,81.9768,86.37,88.568,80.505,66.870,22.81,2024-11-04,['https://www.cybenetics.com/evaluations/psus/2630/'],
Corsair,RM850i,GOLD,A+,83.9483,88.45,88.280,78.993,-,19.09,2018-04-10,['https://www.cybenetics.com/evaluations/psus/90/'],
Corsair,RM850x,GOLD,A-,86.6553,91.30,88.107,84.577,77.749,29.72,2021-05-17,['https://www.cybenetics.com/evaluations/psus/1846/'],
Corsair,RM850x (ATX v3.1),GOLD,A,87.3286,92.01,88.815,82.384,75.825,21.34,2024-03-29,['https://www.cybenetics.com/evaluations/psus/2399/'],
Corsair,RM850x (Shift),GOLD,A,84.6998,89.24,88.672,83.606,77.560,22.94,2022-05-31,['https://www.cybenetics.com/evaluations/psus/2022/'],
Corsair,RM850x White,GOLD,A+,86.5600,91.20,88.660,79.352,-,18.81,2018-08-08,['https://www.cybenetics.com/evaluations/psus/211/'],
Corsair,SF1000 Platinum (ATX v3.1),PLATINUM,A-,88.6273,93.38,90.639,83.224,73.744,26.53,2024-07-18,['https://www.cybenetics.com/evaluations/psus/2505/'],
Corsair,SF1000L,PLATINUM,Standard,88.4703,93.21,89.779,82.041,72.481,41.62,2022-11-18,['https://www.cybenetics.com/evaluations/psus/2090/'],
Corsair,SF450 Platinum,SILVER,A,80.8408,85.17,90.732,84.918,64.632,22.54,2018-07-07,['https://www.cybenetics.com/evaluations/psus/538/'],
Corsair,SF600 (ATXv3.1),PLATINUM,Standard++,80.2679,84.57,89.242,81.558,62.190,33.92,2024-10-24,['https://www.cybenetics.com/evaluations/psus/2618/'],
Corsair,SF600 Platinum,PLATINUM,A,81.7724,86.16,90.041,81.277,61.014,22.95,2019-04-29,['https://www.cybenetics.com/evaluations/psus/649/'],
Corsair,SF750 Platinum,PLATINUM,A-,80.9694,85.31,90.210,81.655,54.190,26.20,2018-11-25,['https://www.cybenetics.com/evaluations/psus/550/'],
Corsair,SF750 Platinum (ATX v3.1),PLATINUM,A-,86.3338,90.96,90.860,84.129,76.418,27.54,2024-02-12,['https://www.cybenetics.com/evaluations/psus/2352/'],
Corsair,SF850 Platinum (ATX v3.1),PLATINUM,A-,86.5609,91.20,90.951,84.062,72.663,29.42,2024-02-09,['https://www.cybenetics.com/evaluations/psus/2349/'],
Corsair,SF850L,PLATINUM,Standard+,89.4686,94.27,90.577,85.061,74.797,36.09,2022-11-22,['https://www.cybenetics.com/evaluations/psus/2091/'],
Corsair,TX1000,GOLD,Standard++,82.7036,87.14,87.641,75.633,63.836,31.97,2024-04-15,['https://www.cybenetics.com/evaluations/psus/2418/'],
Corsair,TX1200,GOLD,Standard++,85.3676,89.94,88.560,76.647,68.058,34.70,2024-04-11,['https://www.cybenetics.com/evaluations/psus/2411/'],
Corsair,TX550M,GOLD,A,80.2429,84.54,88.840,81.380,67.802,24.95,2021-10-13,['https://www.cybenetics.com/evaluations/psus/1919/'],
Corsair,TX650M,GOLD,A-,79.5449,83.81,88.748,80.131,70.597,26.90,2021-10-08,['https://www.cybenetics.com/evaluations/psus/1917/'],
Corsair,TX750,GOLD,A,83.2843,87.75,88.719,79.818,62.457,20.63,2024-04-23,['https://www.cybenetics.com/evaluations/psus/2424/'],
Corsair,TX750e (ATX v3.1),GOLD,A,79.3986,83.66,88.065,79.333,62.483,20.87,2024-08-16,['https://www.cybenetics.com/evaluations/psus/2539/'],
Corsair,TX750M,GOLD,A-,78.8019,83.03,88.010,77.456,71.796,27.75,2021-10-11,['https://www.cybenetics.com/evaluations/psus/1916/'],
Corsair,TX850,GOLD,A-,83.6057,88.09,88.769,78.590,64.854,27.74,2024-04-18,['https://www.cybenetics.com/evaluations/psus/2421/'],
Corsair,TX850e (ATX v3.1),GOLD,A-,82.2175,86.63,88.068,78.407,63.722,28.29,2024-08-08,['https://www.cybenetics.com/evaluations/psus/2529/'],
Corsair,TX850M,GOLD,A-,75.7524,79.81,88.736,77.111,-,27.95,2018-10-31,['https://www.cybenetics.com/evaluations/psus/88/'],
Corsair,Vengeance 550M,SILVER,Standard++,74.8448,78.86,85.639,76.006,-,30.98,2018-05-23,['https://www.cybenetics.com/evaluations/psus/114/'],
Corsair,Vengeance 650M,GOLD,A+,78.9380,83.17,87.973,79.852,61.084,17.78,2018-06-26,['https://www.cybenetics.com/evaluations/psus/421/'],
Corsair,Vengeance 750M,GOLD,A,76.8367,80.96,88.013,79.880,63.931,21.62,2018-06-27,['https://www.cybenetics.com/evaluations/psus/422/'],
Corsair,VS450,BRONZE,Standard++,66.9203,70.51,82.734,76.490,55.611,31.85,2018-12-11,['https://www.cybenetics.com/evaluations/psus/562/'],
Corsair,VS550,BRONZE,A-,68.4901,72.16,82.826,75.674,53.965,29.11,2018-06-09,['https://www.cybenetics.com/evaluations/psus/560/'],
Corsair,VS650,BRONZE,Standard++,62.6098,65.97,81.932,74.928,56.915,34.08,2020-07-14,['https://www.cybenetics.com/evaluations/psus/1683/'],
Cougar,GEX PRO 750,GOLD,A+,82.4330,86.85,88.676,79.091,61.966,19.09,2024-11-29,['https://www.cybenetics.com/evaluations/psus/2664/'],
Cougar,GEX PRO 850,GOLD,A+,82.0867,86.49,88.750,79.772,65.880,18.98,2024-09-25,['https://www.cybenetics.com/evaluations/psus/2581/'],
Cougar,GEX X2 1000,PLATINUM,A-,85.5537,90.14,89.802,80.642,70.530,26.56,2023-04-19,['https://www.cybenetics.com/evaluations/psus/2170/'],
Cougar,GEX X2 850,PLATINUM,A+,84.3498,88.87,89.408,81.252,66.748,19.01,2023-04-19,['https://www.cybenetics.com/evaluations/psus/2171/'],
Cougar,GLE 1000W,PLATINUM,A-,83.7938,88.29,89.128,78.138,66.286,27.81,2024-09-30,['https://www.cybenetics.com/evaluations/psus/2585/'],
Cougar,GLE 850W,GOLD,A-,80.7221,85.05,88.107,77.612,70.250,27.37,2024-10-04,['https://www.cybenetics.com/evaluations/psus/2593/'],
Cougar,GX-F550,GOLD,A-,78.5175,82.73,88.810,78.861,-,28.71,2018-02-20,['https://www.cybenetics.com/evaluations/psus/295/'],
Cougar,GX-F550 (#2),GOLD,A-,78.1642,82.35,88.937,78.971,-,29.56,2018-02-19,['https://www.cybenetics.com/evaluations/psus/296/'],
Cougar,GX-F650,GOLD,Standard++,77.2771,81.42,88.894,78.028,-,32.58,2018-02-18,['https://www.cybenetics.com/evaluations/psus/294/'],
Cougar,GX-F650 (#2),GOLD,Standard++,77.8389,82.01,88.500,77.902,-,33.42,2018-02-18,['https://www.cybenetics.com/evaluations/psus/293/'],
Cougar,GX-F750,GOLD,Standard++,78.7754,83.00,88.472,75.555,-,33.67,2018-02-16,['https://www.cybenetics.com/evaluations/psus/292/'],
Cougar,GX-F750 (#2),GOLD,Standard++,75.7551,79.82,88.619,76.222,-,32.84,2018-03-21,['https://www.cybenetics.com/evaluations/psus/335/'],
Cougar,Polar 1050W,PLATINUM,A+,85.2972,89.87,90.351,80.746,69.526,17.26,2022-04-21,['https://www.cybenetics.com/evaluations/psus/2005/'],
Cougar,Polar 1200W,PLATINUM,A+,84.8032,89.35,90.029,78.286,69.186,19.66,2022-04-15,['https://www.cybenetics.com/evaluations/psus/2004/'],
Cougar,Polar X2 1050W,PLATINUM,A,85.6036,90.19,90.182,79.110,67.679,22.37,2023-05-15,['https://www.cybenetics.com/evaluations/psus/2176/'],
Cougar,Polar X2 1200W,PLATINUM,A-,88.2749,93.01,89.750,76.786,64.642,26.18,2023-05-10,['https://www.cybenetics.com/evaluations/psus/2174/'],
Cougar,VTE Bronze 600W,BRONZE,Standard,62.2287,65.56,83.423,79.421,64.297,43.31,2020-07-20,['https://www.cybenetics.com/evaluations/psus/1686/'],
Duex,Pulse 1000W,GOLD,Standard++,80.2472,84.55,87.838,76.907,58.480,34.20,2024-07-04,['https://www.cybenetics.com/evaluations/psus/2497/'],
Duex,Pulse 800W,PLATINUM,A-,75.1075,79.13,89.364,79.338,50.783,29.61,2024-07-09,['https://www.cybenetics.com/evaluations/psus/2503/'],
Duex,Pulse 850W,PLATINUM,Standard++,76.7863,80.90,89.455,79.506,-,31.41,2024-07-08,['https://www.cybenetics.com/evaluations/psus/2501/'],
Einarex,Nexus L1 1000W,GOLD,A-,81.6402,86.02,88.421,78.323,63.652,25.31,2024-11-09,['https://www.cybenetics.com/evaluations/psus/2634/'],
Einarex,Nexus L1 750W,GOLD,Standard++,82.0437,86.44,88.562,80.443,65.133,32.09,2024-08-28,['https://www.cybenetics.com/evaluations/psus/2550/'],
Einarex,Nexus L1 850W,GOLD,Standard++,83.5398,88.02,88.800,80.698,65.369,31.75,2024-08-23,['https://www.cybenetics.com/evaluations/psus/2547/'],
Endorfy,Supremo FM6 1000W,PLATINUM,A,85.5115,90.10,90.011,78.753,-,21.91,2025-04-16,['https://www.cybenetics.com/evaluations/psus/2788/'],
Enermax,MarbleBron RGB 850,BRONZE,Standard+,75.1601,79.19,84.927,76.475,62.319,39.00,2022-01-18,['https://www.cybenetics.com/evaluations/psus/1963/'],
Enermax,MaxRevo 1800W,GOLD,Standard,79.2606,83.51,87.991,63.323,57.397,43.20,2019-03-26,['https://www.cybenetics.com/evaluations/psus/654/'],
Enermax,MaxTytan 1250W,TITANIUM,A,86.2907,90.92,91.244,80.268,-,23.12,2018-11-11,['https://www.cybenetics.com/evaluations/psus/216/'],
Enermax,PlatiGemini 1200W,PLATINUM,Standard++,90.1651,95.00,90.744,81.549,73.421,34.51,2024-03-12,['https://www.cybenetics.com/evaluations/psus/2385/'],
